,PM10
2020-01-01,26.50595238095238
2020-01-02,54.88095238095239
2020-01-03,70.53571428571429
2020-01-04,59.88690476190476
2020-01-05,49.99404761904762
2020-01-06,36.1904761904762
2020-01-07,14.13690476190476
2020-01-08,22.309523809523807
2020-01-09,38.458333333333336
2020-01-10,47.547619047619044
2020-01-11,52.02380952380952
2020-01-12,35.220238095238095
2020-01-13,22.74404761904762
2020-01-14,28.672619047619055
2020-01-15,36.50595238095239
2020-01-16,34.05357142857143
2020-01-17,44.46428571428572
2020-01-18,47.767857142857146
2020-01-19,63.48809523809524
2020-01-20,64.21428571428572
2020-01-21,36.44047619047619
2020-01-22,39.845238095238095
2020-01-23,41.61309523809525
2020-01-24,62.35119047619048
2020-01-25,45.27380952380952
2020-01-26,27.000000000000004
2020-01-27,7.666666666666665
2020-01-28,13.351190476190476
2020-01-29,19.75
2020-01-30,24.107142857142858
2020-01-31,34.136904761904766
2020-02-01,63.02380952380952
2020-02-02,74.3988095238095
2020-02-03,38.517857142857146
2020-02-04,30.77976190476191
2020-02-05,21.25
2020-02-06,26.57142857142857
2020-02-07,38.101190476190474
2020-02-08,39.892857142857146
2020-02-09,33.029761904761905
2020-02-10,54.30357142857142
2020-02-11,59.55952380952382
2020-02-12,41.89880952380952
2020-02-13,37.351190476190474
2020-02-14,60.75595238095236
2020-02-15,54.32738095238094
2020-02-16,14.57738095238095
2020-02-17,21.4702380952381
2020-02-18,21.47023809523809
2020-02-19,29.422619047619047
2020-02-20,48.70238095238094
2020-02-21,59.886904761904766
2020-02-22,70.6547619047619
2020-02-23,26.47023809523809
2020-02-24,35.577380952380956
2020-02-25,17.011904761904756
2020-02-26,14.708333333333336
2020-02-27,28.345238095238102
2020-02-28,23.08928571428571
2020-02-29,22.78571428571428
2020-03-01,36.24404761904762
2020-03-02,37.28571428571429
2020-03-03,35.22619047619048
2020-03-04,35.511904761904766
2020-03-05,36.702380952380956
2020-03-06,35.9404761904762
2020-03-07,38.74404761904762
2020-03-08,37.05357142857143
2020-03-09,47.64285714285714
2020-03-10,30.1547619047619
2020-03-11,33.529761904761905
2020-03-12,32.80357142857143
2020-03-13,29.755952380952383
2020-03-14,34.398809523809526
2020-03-15,46.11904761904762
2020-03-16,25.023809523809522
2020-03-17,41.42857142857142
2020-03-18,50.52380952380951
2020-03-19,57.85119047619048
2020-03-20,43.9702380952381
2020-03-21,56.160714285714285
2020-03-22,49.017857142857146
2020-03-23,43.80952380952382
2020-03-24,47.98214285714286
2020-03-25,47.589285714285715
2020-03-26,37.5
2020-03-27,31.54166666666667
2020-03-28,34.81547619047619
2020-03-29,32.73809523809524
2020-03-30,38.21428571428572
2020-03-31,39.160714285714285
2020-04-01,54.55952380952379
2020-04-02,38.6845238095238
2020-04-03,47.75595238095238
2020-04-04,69.875
2020-04-05,36.63095238095239
2020-04-06,47.583333333333336
2020-04-07,57.85714285714284
2020-04-08,41.44642857142858
2020-04-09,38.654761904761905
2020-04-10,33.67857142857144
2020-04-11,27.80357142857143
2020-04-12,24.773809523809522
2020-04-13,17.2797619047619
2020-04-14,32.37499999999999
2020-04-15,44.41666666666668
2020-04-16,40.12499999999999
2020-04-17,30.72023809523809
2020-04-18,33.98809523809525
2020-04-19,22.19642857142857
2020-04-20,17.749999999999996
2020-04-21,33.85119047619048
2020-04-22,67.6190476190476
2020-04-23,46.14880952380952
2020-04-24,39.94047619047619
2020-04-25,64.05357142857144
2020-04-26,33.26190476190476
2020-04-27,29.80952380952381
2020-04-28,30.017857142857142
2020-04-29,37.267857142857146
2020-04-30,32.92857142857142
2020-05-01,43.875
2020-05-02,43.482142857142854
2020-05-03,24.3452380952381
2020-05-04,34.19642857142858
2020-05-05,33.82142857142858
2020-05-06,32.22619047619047
2020-05-07,25.202380952380953
2020-05-08,24.928571428571427
2020-05-09,13.06547619047619
2020-05-10,18.511904761904763
2020-05-11,60.6904761904762
2020-05-12,52.833333333333336
2020-05-13,38.339285714285715
2020-05-14,76.97023809523809
2020-05-15,33.42857142857142
2020-05-16,27.89880952380953
2020-05-17,38.047619047619044
2020-05-18,31.892857142857142
2020-05-19,17.9047619047619
2020-05-20,13.04166666666667
2020-05-21,25.249999999999996
2020-05-22,33.49404761904762
2020-05-23,27.428571428571427
2020-05-24,26.22023809523809
2020-05-25,33.13690476190476
2020-05-26,38.547619047619044
2020-05-27,24.49404761904762
2020-05-28,33.33333333333333
2020-05-29,35.43452380952381
2020-05-30,35.14285714285714
2020-05-31,36.535714285714285
2020-06-01,24.51785714285714
2020-06-02,23.666666666666668
2020-06-03,42.470238095238095
2020-06-04,62.095238095238095
2020-06-05,66.88690476190477
2020-06-06,59.488095238095234
2020-06-07,51.17261904761906
2020-06-08,56.583333333333336
2020-06-09,58.25595238095238
2020-06-10,46.44642857142856
2020-06-11,23.20238095238095
2020-06-12,40.82142857142857
2020-06-13,24.06547619047619
2020-06-14,20.077380952380953
2020-06-15,28.571428571428566
2020-06-16,37.285714285714285
2020-06-17,42.45238095238094
2020-06-18,24.125
2020-06-19,22.642857142857142
2020-06-20,37.07142857142856
2020-06-21,33.88095238095238
2020-06-22,36.297619047619044
2020-06-23,33.982142857142854
2020-06-24,22.5952380952381
2020-06-25,21.0952380952381
2020-06-26,21.07142857142857
2020-06-27,33.10714285714286
2020-06-28,34.464285714285715
2020-06-29,33.970238095238095
2020-06-30,8.833333333333332
2020-07-01,16.58823529411765
2020-07-02,32.05882352941177
2020-07-03,22.529411764705884
2020-07-04,16.470588235294116
2020-07-05,22.235294117647058
2020-07-06,23.294117647058822
2020-07-07,20.764705882352942
2020-07-08,28.647058823529413
2020-07-09,35.11764705882353
2020-07-10,15.352941176470589
2020-07-11,19.647058823529413
2020-07-12,14.294117647058824
2020-07-13,7.9411764705882355
2020-07-14,8.588235294117647
2020-07-15,12.705882352941176
2020-07-16,21.647058823529413
2020-07-17,28.647058823529413
2020-07-18,26.88235294117647
2020-07-19,20.764705882352942
2020-07-20,17.470588235294116
2020-07-21,20.705882352941178
2020-07-22,18.823529411764707
2020-07-23,13.647058823529411
2020-07-24,10.176470588235293
2020-07-25,13.058823529411764
2020-07-26,16.764705882352942
2020-07-27,24.235294117647058
2020-07-28,14.470588235294118
2020-07-29,13.941176470588236
2020-07-30,15.176470588235293
2020-07-31,18.470588235294116
2020-08-01,19.941176470588236
2020-08-02,22.058823529411764
2020-08-03,26.58823529411765
2020-08-04,40.23529411764706
2020-08-05,31.235294117647058
2020-08-06,22.5625
2020-08-07,26.647058823529413
2020-08-08,12.705882352941176
2020-08-09,12.529411764705882
2020-08-10,11.764705882352942
2020-08-11,16.352941176470587
2020-08-12,20.41176470588235
2020-08-13,22.0
2020-08-14,26.58823529411765
2020-08-15,26.352941176470587
2020-08-16,20.294117647058822
2020-08-17,25.470588235294116
2020-08-18,32.705882352941174
2020-08-19,40.411764705882355
2020-08-20,38.11764705882353
2020-08-21,35.94117647058823
2020-08-22,27.58823529411765
2020-08-23,22.823529411764707
2020-08-24,28.647058823529413
2020-08-25,31.705882352941178
2020-08-26,23.5
2020-08-27,22.0
2020-08-28,18.764705882352942
2020-08-29,13.764705882352942
2020-08-30,15.117647058823529
2020-08-31,14.470588235294118
2020-09-01,18.705882352941178
2020-09-02,14.625
2020-09-03,21.529411764705884
2020-09-04,34.64705882352941
2020-09-05,33.529411764705884
2020-09-06,17.11764705882353
2020-09-07,11.529411764705882
2020-09-08,41.64705882352941
2020-09-09,29.823529411764707
2020-09-10,29.529411764705884
2020-09-11,30.11764705882353
2020-09-12,12.823529411764707
2020-09-13,12.176470588235293
2020-09-14,20.705882352941178
2020-09-15,27.58823529411765
2020-09-16,21.352941176470587
2020-09-17,23.11764705882353
2020-09-18,23.88235294117647
2020-09-19,23.705882352941178
2020-09-20,20.941176470588236
2020-09-21,23.176470588235293
2020-09-22,18.058823529411764
2020-09-23,14.235294117647058
2020-09-24,15.705882352941176
2020-09-25,17.470588235294116
2020-09-26,18.470588235294116
2020-09-27,16.88235294117647
2020-09-28,21.470588235294116
2020-09-29,26.352941176470587
2020-09-30,28.0
2020-10-01,22.058823529411764
2020-10-02,22.705882352941178
2020-10-03,27.176470588235293
2020-10-04,27.470588235294116
2020-10-05,24.0
2020-10-06,21.764705882352942
2020-10-07,21.823529411764707
2020-10-08,18.647058823529413
2020-10-09,22.11764705882353
2020-10-10,23.235294117647058
2020-10-11,24.41176470588235
2020-10-12,33.64705882352941
2020-10-13,26.941176470588236
2020-10-14,33.11764705882353
2020-10-15,31.1875
2020-10-16,36.88235294117647
2020-10-17,33.411764705882355
2020-10-18,30.58823529411765
2020-10-19,44.294117647058826
2020-10-20,51.88235294117647
2020-10-21,43.35294117647059
2020-10-22,50.705882352941174
2020-10-23,27.352941176470587
2020-10-24,23.41176470588235
2020-10-25,27.235294117647058
2020-10-26,40.88235294117647
2020-10-27,59.35294117647059
2020-10-28,61.1764705882353
2020-10-29,34.0
2020-10-30,37.294117647058826
2020-10-31,29.647058823529413
2020-11-01,27.88235294117647
2020-11-02,39.05882352941177
2020-11-03,24.823529411764707
2020-11-04,25.941176470588236
2020-11-05,35.588235294117645
2020-11-06,46.588235294117645
2020-11-07,60.705882352941174
2020-11-08,58.88235294117647
2020-11-09,25.941176470588236
2020-11-10,29.0
2020-11-11,35.23529411764706
2020-11-12,42.94117647058823
2020-11-13,54.64705882352941
2020-11-14,53.588235294117645
2020-11-15,47.94117647058823
2020-11-16,64.0
2020-11-17,59.1764705882353
2020-11-18,36.76470588235294
2020-11-19,16.764705882352942
2020-11-20,20.41176470588235
